File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MYD13Q1_061__250m_16_days_EVI_doy2022137_aid0001,_250m_16_days_EVI,aid0001,2022-05-17,229287.0,-0.0499,0.9084,"(-0.0499,0.9084)",0.2070087,0.0843367,0.0071127,0.2579,0.4221,0.198,-0.0148,0.1484
MYD13Q1_061__250m_16_days_EVI_doy2022153_aid0001,_250m_16_days_EVI,aid0001,2022-06-02,229166.0,-0.0619,0.9943,"(-0.0619,0.9943)",0.2056737,0.0854643,0.0073042,0.254375,0.4152,0.196,-0.0129,0.1471
MYD13Q1_061__250m_16_days_EVI_doy2022169_aid0001,_250m_16_days_EVI,aid0001,2022-06-18,229342.0,-0.0453,0.9695,"(-0.0453,0.9695)",0.1954822,0.0817031,0.0066754,0.2396,0.3879,0.1856,-0.0076,0.1407
MYD13Q1_061__250m_16_days_MIR_reflectance_doy2022137_aid0001,_250m_16_days_MIR_reflectance,aid0001,2022-05-17,229289.0,0.0117,0.6643,"(0.0117,0.6643)",0.1661413,0.0535518,0.0028678,0.195,0.2922,0.1648,0.0342,0.1302
MYD13Q1_061__250m_16_days_MIR_reflectance_doy2022153_aid0001,_250m_16_days_MIR_reflectance,aid0001,2022-06-02,229179.0,0.0119,0.5036,"(0.0119,0.5036)",0.1773578,0.0528011,0.002788,0.2082,0.31,0.1789,0.039,0.1403
MYD13Q1_061__250m_16_days_MIR_reflectance_doy2022169_aid0001,_250m_16_days_MIR_reflectance,aid0001,2022-06-18,229368.0,0.0124,0.6946,"(0.0124,0.6946)",0.1792714,0.0556259,0.0030942,0.212,0.3233,0.1773,0.0266,0.1378
MYD13Q1_061__250m_16_days_NDVI_doy2022137_aid0001,_250m_16_days_NDVI,aid0001,2022-05-17,229219.0,-0.1966,0.9043,"(-0.1966,0.9043)",0.3582091,0.1601851,0.0256593,0.4708,0.8202,0.3324,-0.1099,0.2377
MYD13Q1_061__250m_16_days_NDVI_doy2022153_aid0001,_250m_16_days_NDVI,aid0001,2022-06-02,228986.0,-0.2,0.9555,"(-0.2,0.9555)",0.3429908,0.1520236,0.0231112,0.4453,0.7663,0.318,-0.0881,0.2312
MYD13Q1_061__250m_16_days_NDVI_doy2022169_aid0001,_250m_16_days_NDVI,aid0001,2022-06-18,229191.0,-0.2,0.9144,"(-0.2,0.9144)",0.3300875,0.1435376,0.020603,0.42605,0.7272,0.3086,-0.0745,0.2251
MYD13Q1_061__250m_16_days_NIR_reflectance_doy2022137_aid0001,_250m_16_days_NIR_reflectance,aid0001,2022-05-17,229287.0,0.0015,0.6792,"(0.0015,0.6792)",0.2250584,0.0421457,0.0017763,0.2493,0.3258,0.2231,0.1218,0.1983
MYD13Q1_061__250m_16_days_NIR_reflectance_doy2022153_aid0001,_250m_16_days_NIR_reflectance,aid0001,2022-06-02,229166.0,0.0001,0.7134,"(0.0001,0.7134)",0.2335529,0.0459841,0.0021145,0.2625,0.3529,0.2327,0.1118,0.2022
MYD13Q1_061__250m_16_days_NIR_reflectance_doy2022169_aid0001,_250m_16_days_NIR_reflectance,aid0001,2022-06-18,229342.0,0.0006,0.6818,"(0.0006,0.6818)",0.2275168,0.0469777,0.0022069,0.2574,0.3522,0.2257,0.0994,0.1942
MYD13Q1_061__250m_16_days_blue_reflectance_doy2022137_aid0001,_250m_16_days_blue_reflectance,aid0001,2022-05-17,229289.0,0.0004,0.3636,"(0.0004,0.3636)",0.0663755,0.0283454,0.0008035,0.0846,0.1438,0.0645,0.0004,0.0451
MYD13Q1_061__250m_16_days_blue_reflectance_doy2022153_aid0001,_250m_16_days_blue_reflectance,aid0001,2022-06-02,229179.0,0.0023,0.246,"(0.0023,0.246)",0.0709518,0.0287142,0.0008245,0.0899,0.1506,0.0687,0.0023,0.0494
MYD13Q1_061__250m_16_days_blue_reflectance_doy2022169_aid0001,_250m_16_days_blue_reflectance,aid0001,2022-06-18,229368.0,0.0052,0.272,"(0.0052,0.272)",0.0699331,0.0272294,0.0007414,0.0867,0.142,0.0668,0.0052,0.0498
MYD13Q1_061__250m_16_days_composite_day_of_the_year_doy2022137_aid0001,_250m_16_days_composite_day_of_the_year,aid0001,2022-05-17,229289.0,137.0,152.0,"(137.0,152.0)",145.1493181,4.4210918,19.5460523,149.0,152.0,144.0,137.0,142.0
MYD13Q1_061__250m_16_days_composite_day_of_the_year_doy2022153_aid0001,_250m_16_days_composite_day_of_the_year,aid0001,2022-06-02,229179.0,153.0,168.0,"(153.0,168.0)",160.1846024,4.0712744,16.5752753,165.0,168.0,158.0,153.0,156.0
MYD13Q1_061__250m_16_days_composite_day_of_the_year_doy2022169_aid0001,_250m_16_days_composite_day_of_the_year,aid0001,2022-06-18,229368.0,169.0,184.0,"(169.0,184.0)",176.4270474,4.4547362,19.8446744,181.0,184.0,176.0,169.0,172.0
MYD13Q1_061__250m_16_days_red_reflectance_doy2022137_aid0001,_250m_16_days_red_reflectance,aid0001,2022-05-17,229287.0,0.0017,0.6572,"(0.0017,0.6572)",0.1112459,0.0454618,0.0020668,0.1408,0.2365,0.1108,0.0017,0.077
MYD13Q1_061__250m_16_days_red_reflectance_doy2022153_aid0001,_250m_16_days_red_reflectance,aid0001,2022-06-02,229169.0,0.0003,0.5479,"(0.0003,0.5479)",0.1186968,0.0455842,0.0020779,0.1501,0.2489,0.1189,0.0003,0.0842
MYD13Q1_061__250m_16_days_red_reflectance_doy2022169_aid0001,_250m_16_days_red_reflectance,aid0001,2022-06-18,229351.0,0.0005,0.5394,"(0.0005,0.5394)",0.1182434,0.0443338,0.0019655,0.149,0.2445,0.1148,0.0005,0.0853
MYD13Q1_061__250m_16_days_relative_azimuth_angle_doy2022137_aid0001,_250m_16_days_relative_azimuth_angle,aid0001,2022-05-17,229288.0,-179.74,179.92,"(-179.74,179.92)",-127.6354234,61.8762329,3828.668204,-148.09,-135.57,-153.68,-169.0,-156.46
MYD13Q1_061__250m_16_days_relative_azimuth_angle_doy2022153_aid0001,_250m_16_days_relative_azimuth_angle,aid0001,2022-06-02,229179.0,-179.78,179.96,"(-179.78,179.96)",-104.1585045,80.4995235,6480.1732827,13.38,179.96,-156.09,-179.78,-159.36
MYD13Q1_061__250m_16_days_relative_azimuth_angle_doy2022169_aid0001,_250m_16_days_relative_azimuth_angle,aid0001,2022-06-18,229368.0,-178.5,179.53,"(-178.5,179.53)",-88.4847847,83.1998409,6922.2135258,13.99,179.53,-150.87,-178.5,-157.25
MYD13Q1_061__250m_16_days_sun_zenith_angle_doy2022137_aid0001,_250m_16_days_sun_zenith_angle,aid0001,2022-05-17,229289.0,14.65,29.72,"(14.65,29.72)",20.5895982,2.0543319,4.2202796,21.5,24.38,21.14,16.42,19.06
MYD13Q1_061__250m_16_days_sun_zenith_angle_doy2022153_aid0001,_250m_16_days_sun_zenith_angle,aid0001,2022-06-02,229179.0,12.76,27.91,"(12.76,27.91)",19.5270035,2.2790931,5.1942652,21.17,24.36,19.32,16.21,19.04
MYD13Q1_061__250m_16_days_sun_zenith_angle_doy2022169_aid0001,_250m_16_days_sun_zenith_angle,aid0001,2022-06-18,229368.0,12.62,26.87,"(12.62,26.87)",18.2856327,2.4205291,5.8589611,19.89,23.64,18.52,13.64,17.39
MYD13Q1_061__250m_16_days_view_zenith_angle_doy2022137_aid0001,_250m_16_days_view_zenith_angle,aid0001,2022-05-17,229289.0,0.03,59.92,"(0.03,59.92)",18.346905,14.7509149,217.5894891,27.75,59.92,13.03,0.03,5.95
MYD13Q1_061__250m_16_days_view_zenith_angle_doy2022153_aid0001,_250m_16_days_view_zenith_angle,aid0001,2022-06-02,229179.0,0.04,59.93,"(0.04,59.93)",16.5000989,14.7452847,217.4234209,18.75,35.32,11.11,0.04,7.67
MYD13Q1_061__250m_16_days_view_zenith_angle_doy2022169_aid0001,_250m_16_days_view_zenith_angle,aid0001,2022-06-18,229368.0,0.04,59.25,"(0.04,59.25)",18.7317979,17.1390306,293.7463708,32.5,59.25,10.02,0.04,7.41
